title,meta,headers,body,map,p10,ndcg10,ndcg1000
1,3,1,0,0.0120,0.1260,0.0971,0.0532
1,3,1,1,0.0131,0.1370,0.1046,0.0579
1,3,1,3,0.0209,0.1730,0.1259,0.0897
1,3,1,5,0.0285,0.2070,0.1518,0.1049
1,3,3,0,0.0157,0.1390,0.1070,0.0696
1,3,3,1,0.0173,0.1480,0.1163,0.0750
1,3,3,3,0.0218,0.1750,0.1313,0.0916
1,3,3,5,0.0284,0.2040,0.1527,0.1062
1,3,5,0,0.0149,0.1310,0.1011,0.0673
1,3,5,1,0.0156,0.1380,0.1057,0.0709
1,3,5,3,0.0177,0.1480,0.1132,0.0811
1,3,5,5,0.0232,0.1820,0.1352,0.0969
1,5,0,0,0.0104,0.1110,0.0841,0.0489
1,5,0,1,0.0111,0.1220,0.0909,0.0516
1,5,0,3,0.0136,0.1370,0.1003,0.0634
1,5,0,5,0.0196,0.1660,0.1178,0.0861
1,5,1,0,0.0112,0.1220,0.0923,0.0513
1,5,1,1,0.0119,0.1270,0.0964,0.0532
1,5,1,3,0.0144,0.1420,0.1062,0.0661
1,5,1,5,0.0205,0.1690,0.1224,0.0878
1,5,3,0,0.0127,0.1260,0.0980,0.0578
1,5,3,1,0.0133,0.1340,0.1031,0.0610
1,5,3,3,0.0153,0.1500,0.1116,0.0703
1,5,3,5,0.0211,0.1790,0.1291,0.0899
1,5,5,0,0.0156,0.1390,0.1074,0.0689
1,5,5,1,0.0163,0.1450,0.1134,0.0718
1,5,5,3,0.0181,0.1590,0.1208,0.0796
1,5,5,5,0.0217,0.1750,0.1319,0.0917
3,0,0,0,0.0175,0.1410,0.1079,0.0752
3,0,0,1,0.0218,0.1680,0.1300,0.0884
3,0,0,3,0.0312,0.2210,0.1620,0.1122
3,0,0,5,0.0342,0.2520,0.1772,0.1164
3,0,1,0,0.0198,0.1540,0.1206,0.0808
3,0,1,1,0.0222,0.1700,0.1294,0.0892
3,0,1,3,0.0317,0.2190,0.1613,0.1123
3,0,1,5,0.0339,0.2470,0.1743,0.1158
3,0,3,0,0.0187,0.1470,0.1121,0.0799
3,0,3,1,0.0204,0.1540,0.1169,0.0863
3,0,3,3,0.0259,0.1880,0.1372,0.1027
3,0,3,5,0.0312,0.2310,0.1627,0.1119
3,0,5,0,0.0156,0.1280,0.1024,0.0712
3,0,5,1,0.0162,0.1340,0.1047,0.0744
3,0,5,3,0.0186,0.1520,0.1163,0.0852
3,0,5,5,0.0239,0.1780,0.1305,0.1000
3,1,0,0,0.0192,0.1550,0.1165,0.0787
3,1,0,1,0.0223,0.1780,0.1340,0.0891
3,1,0,3,0.0309,0.2340,0.1653,0.1112
3,1,0,5,0.0329,0.2370,0.1699,0.1136
3,1,1,0,0.0203,0.1630,0.1215,0.0812
3,1,1,1,0.0226,0.1780,0.1332,0.0898
3,1,1,3,0.0308,0.2320,0.1668,0.1114
3,1,1,5,0.0333,0.2440,0.1732,0.1143
3,1,3,0,0.0188,0.1520,0.1153,0.0802
3,1,3,1,0.0202,0.1600,0.1209,0.0861
3,1,3,3,0.0261,0.1850,0.1377,0.1031
3,1,3,5,0.0314,0.2250,0.1646,0.1119
