title,meta,headers,body,map,p10,ndcg10,ndcg1000
1,3,1,0,0.0269,0.1443,0.1255,0.1060
1,3,1,1,0.0335,0.1663,0.1413,0.1292
1,3,1,3,0.0817,0.2327,0.1957,0.2652
1,3,1,5,0.1033,0.2850,0.2405,0.3036
1,3,3,0,0.0387,0.1697,0.1467,0.1392
1,3,3,1,0.0471,0.1850,0.1585,0.1651
1,3,3,3,0.0798,0.2357,0.1976,0.2578
1,3,3,5,0.1040,0.2840,0.2404,0.3024
1,3,5,0,0.0384,0.1680,0.1415,0.1371
1,3,5,1,0.0443,0.1810,0.1500,0.1555
1,3,5,3,0.0608,0.2113,0.1743,0.2074
1,3,5,5,0.0893,0.2503,0.2089,0.2777
1,5,0,0,0.0236,0.1337,0.1152,0.0964
1,5,0,1,0.0280,0.1473,0.1274,0.1109
1,5,0,3,0.0439,0.1787,0.1538,0.1701
1,5,0,5,0.0786,0.2310,0.1926,0.2624
1,5,1,0,0.0254,0.1410,0.1217,0.1010
1,5,1,1,0.0288,0.1523,0.1299,0.1128
1,5,1,3,0.0453,0.1820,0.1566,0.1733
1,5,1,5,0.0804,0.2350,0.1966,0.2647
1,5,3,0,0.0295,0.1470,0.1279,0.1146
1,5,3,1,0.0340,0.1590,0.1386,0.1305
1,5,3,3,0.0484,0.1857,0.1593,0.1804
1,5,3,5,0.0818,0.2327,0.1964,0.2652
1,5,5,0,0.0381,0.1673,0.1444,0.1381
1,5,5,1,0.0430,0.1757,0.1513,0.1534
1,5,5,3,0.0562,0.2047,0.1725,0.1942
1,5,5,5,0.0800,0.2347,0.1970,0.2588
3,0,0,0,0.0298,0.1223,0.1109,0.1176
3,0,0,1,0.0509,0.1737,0.1561,0.1747
3,0,0,3,0.1055,0.2787,0.2377,0.3025
3,0,0,5,0.1098,0.2987,0.2522,0.3129
3,0,1,0,0.0341,0.1430,0.1269,0.1272
3,0,1,1,0.0525,0.1763,0.1605,0.1781
3,0,1,3,0.1058,0.2707,0.2361,0.3026
3,0,1,5,0.1118,0.2957,0.2523,0.3153
3,0,3,0,0.0412,0.1587,0.1397,0.1437
3,0,3,1,0.0536,0.1873,0.1602,0.1779
3,0,3,3,0.0909,0.2450,0.2128,0.2779
3,0,3,5,0.1105,0.2903,0.2478,0.3114
3,0,5,0,0.0370,0.1590,0.1381,0.1336
3,0,5,1,0.0440,0.1687,0.1482,0.1541
3,0,5,3,0.0618,0.2060,0.1757,0.2080
3,0,5,5,0.0922,0.2467,0.2105,0.2821
3,1,0,0,0.0329,0.1363,0.1217,0.1253
3,1,0,1,0.0504,0.1700,0.1525,0.1755
3,1,0,3,0.1029,0.2713,0.2334,0.2991
3,1,0,5,0.1091,0.2933,0.2491,0.3119
3,1,1,0,0.0365,0.1503,0.1324,0.1340
3,1,1,1,0.0519,0.1753,0.1574,0.1784
3,1,1,3,0.1027,0.2703,0.2335,0.2980
3,1,1,5,0.1109,0.2927,0.2489,0.3137
3,1,3,0,0.0425,0.1657,0.1423,0.1472
3,1,3,1,0.0533,0.1883,0.1581,0.1773
3,1,3,3,0.0889,0.2500,0.2113,0.2732
3,1,3,5,0.1092,0.2893,0.2467,0.3099
3,1,5,0,0.0377,0.1607,0.1381,0.1356
3,1,5,1,0.0439,0.1727,0.1480,0.1542
3,1,5,3,0.0617,0.2030,0.1731,0.2076
3,1,5,5,0.0914,0.2510,0.2138,0.2809
