title,meta,headers,body,map,p10,ndcg10,ndcg1000
0,0,0,1,0.1739,0.2848,0.2724,0.4144
0,0,0,3,0.1739,0.2848,0.2724,0.4144
0,0,0,5,0.1739,0.2848,0.2724,0.4144
0,0,1,0,0.0379,0.1182,0.1073,0.1499
0,0,1,1,0.1397,0.2424,0.2269,0.3856
0,0,1,3,0.1812,0.3061,0.2905,0.4238
0,0,1,5,0.1791,0.3000,0.2851,0.4204
0,0,3,0,0.0379,0.1182,0.1073,0.1499
0,0,3,1,0.0576,0.1439,0.1346,0.2144
0,0,3,3,0.1397,0.2424,0.2269,0.3856
0,0,3,5,0.1840,0.3030,0.2902,0.4267
0,0,5,0,0.0379,0.1182,0.1073,0.1499
0,0,5,1,0.0512,0.1333,0.1245,0.1908
0,0,5,3,0.0800,0.1682,0.1608,0.2830
0,0,5,5,0.1397,0.2424,0.2269,0.3856
0,1,0,0,0.0419,0.1076,0.1092,0.1423
0,1,0,1,0.1212,0.2303,0.1952,0.3737
0,1,0,3,0.1804,0.2985,0.2756,0.4242
0,1,0,5,0.1790,0.2955,0.2783,0.4235
0,1,1,0,0.0504,0.1439,0.1360,0.1881
0,1,1,1,0.1219,0.2242,0.2062,0.3733
0,1,1,3,0.1832,0.3000,0.2788,0.4272
0,1,1,5,0.1814,0.2939,0.2777,0.4253
0,1,3,0,0.0430,0.1197,0.1108,0.1648
0,1,3,1,0.0611,0.1333,0.1314,0.2264
0,1,3,3,0.1409,0.2364,0.2224,0.3894
0,1,3,5,0.1831,0.3000,0.2823,0.4288
0,1,5,0,0.0423,0.1197,0.1110,0.1614
0,1,5,1,0.0527,0.1318,0.1245,0.1968
0,1,5,3,0.0813,0.1667,0.1603,0.2876
0,1,5,5,0.1415,0.2424,0.2279,0.3899
0,3,0,0,0.0419,0.1076,0.1092,0.1423
0,3,0,1,0.0539,0.1394,0.1344,0.1905
0,3,0,3,0.1212,0.2303,0.1952,0.3737
0,3,0,5,0.1760,0.2985,0.2684,0.4246
0,3,1,0,0.0432,0.1303,0.1241,0.1527
0,3,1,1,0.0554,0.1576,0.1464,0.1975
0,3,1,3,0.1254,0.2394,0.2086,0.3809
0,3,1,5,0.1783,0.2909,0.2655,0.4267
0,3,3,0,0.0504,0.1439,0.1360,0.1881
0,3,3,1,0.0639,0.1682,0.1549,0.2372
0,3,3,3,0.1219,0.2242,0.2062,0.3733
0,3,3,5,0.1791,0.2848,0.2620,0.4279
0,3,5,0,0.0486,0.1379,0.1278,0.1810
0,3,5,1,0.0585,0.1530,0.1402,0.2178
0,3,5,3,0.0905,0.1803,0.1710,0.3088
0,3,5,5,0.1427,0.2288,0.2156,0.3937
0,5,0,0,0.0419,0.1076,0.1092,0.1423
0,5,0,1,0.0495,0.1303,0.1265,0.1720
0,5,0,3,0.0715,0.1667,0.1530,0.2670
0,5,0,5,0.1212,0.2303,0.1952,0.3737
0,5,1,0,0.0433,0.1242,0.1199,0.1487
0,5,1,1,0.0508,0.1455,0.1380,0.1761
0,5,1,3,0.0717,0.1682,0.1565,0.2708
0,5,1,5,0.1244,0.2348,0.2026,0.3786
0,5,3,0,0.0449,0.1348,0.1291,0.1670
0,5,3,1,0.0518,0.1500,0.1407,0.1944
0,5,3,3,0.0754,0.1667,0.1594,0.2864
0,5,3,5,0.1248,0.2379,0.2111,0.3832
0,5,5,0,0.0504,0.1439,0.1360,0.1881
0,5,5,1,0.0585,0.1606,0.1488,0.2186
0,5,5,3,0.0813,0.1848,0.1747,0.2912
0,5,5,5,0.1219,0.2242,0.2062,0.3733
1,0,0,0,0.0365,0.1409,0.1145,0.1287
1,0,0,1,0.1537,0.2697,0.2408,0.3955
1,0,0,3,0.1788,0.3045,0.2782,0.4193
1,0,0,5,0.1773,0.3000,0.2781,0.4190
1,0,1,0,0.0456,0.1485,0.1286,0.1661
1,0,1,1,0.1292,0.2318,0.2107,0.3692
1,0,1,3,0.1852,0.3076,0.2888,0.4258
