schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 625 0.0336 0.3000 0.3225 0.2452 0.0451 0 '2011000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 638 0.1541 0.7000 0.3968 0.3605 0.2696 0 '1111110010' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 639 0.1519 0.1000 0.0367 0.4426 0.2626 0 '0000001000' 0.1429
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 648 0.3906 0.8000 0.5516 0.6675 0.4407 0 '1201120211' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 650 0.1001 0.1000 0.1222 0.4507 0.0977 0 '0020000000' 0.3333
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 651 0.0300 0.0000 0.0000 0.2248 0.0552 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 658 0.3133 0.6000 0.5030 0.6384 0.3658 0 '1022201020' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 689 0.0279 0.1000 0.0331 0.2246 0.0950 4 '-00-0-001-' 0.1111
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 303 0.4119 0.6000 0.6937 0.7932 0.3810 0 '2222000022' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 307 0.2706 0.6000 0.3600 0.4929 0.4122 0 '1100101201' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 310 0.0984 0.4000 0.2492 0.2775 0.1564 0 '0111000200' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 314 0.0040 0.1000 0.0736 0.0792 0.0173 0 '0000000020' 0.1111
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 322 0.0039 0.0000 0.0000 0.0702 0.0095 1 '000-000000' 0.0200
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 325 0.3474 0.6000 0.4337 0.6944 0.5324 0 '1111100010' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 330 0.2047 0.7000 0.6355 0.6256 0.1970 0 '1110111100' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 336 0.4663 0.8000 0.4520 0.7077 0.4938 0 '0121101112' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 341 0.1003 0.2000 0.3222 0.5114 0.0833 0 '2000000001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 344 0.0673 0.4000 0.2244 0.2968 0.1235 0 '0100201010' 0.5000
topTuneBvaried_Hard2005_unifield_b0.0_k1.2 0.0 345 0.0337 0.1000 0.0708 0.2943 0.0123 0 '0000000010' 0.1111
