schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 107006 0.0537 0.1000 0.0948 0.3142 0.1621 1 '00020-0000' 0.2500
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 108001 0.0600 0.1000 0.0663 0.3418 0.0781 1 '0-00000020' 0.1111
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 108002 0.0176 0.0000 0.0000 0.2036 0.0260 2 '000000-00-' 0.0500
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 108003 0.0034 0.0000 0.0000 0.0844 0.0000 2 '0000--0000' 0.0217
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 108004 0.0051 0.0000 0.0000 0.1552 0.0000 1 '000000000-' 0.0062
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 108005 0.0275 0.0000 0.0000 0.2864 0.0017 2 '-00-000000' 0.0256
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 108006 0.0260 0.0000 0.0000 0.2775 0.0191 0 '0000000000' 0.0556
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 109001 0.0002 0.0000 0.0000 0.0153 0.0000 1 '000-000000' 0.0051
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 109002 0.0410 0.2000 0.1799 0.1830 0.1125 0 '0001100000' 0.2500
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 109003 0.0408 0.1000 0.2201 0.1567 0.0617 3 '1000000---' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 109004 0.0151 0.1000 0.1100 0.1097 0.0343 1 '00100-0000' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 109005 0.0119 0.0000 0.0000 0.1577 0.0453 2 '0000-00-00' 0.0455
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 109006 0.0000 0.0000 0.0000 0.0000 0.0000 1 '000000-000' 0.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 110001 0.0833 0.2000 0.1732 0.4042 0.4435 8 '---2-2----' 0.2500
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 110002 0.1725 0.8000 0.4640 0.4656 0.4382 1 '1111111-02' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 110003 0.0004 0.0000 0.0000 0.0117 0.0186 4 '0000-0--0-' 0.0455
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 110004 0.1312 0.9000 0.6155 0.3987 0.3729 0 '1011222212' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 110005 0.0121 0.1000 0.0474 0.1055 0.1234 1 '000100000-' 0.2500
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 110006 0.0820 0.6000 0.7034 0.3688 0.3124 0 '2222002020' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 111001 0.1575 0.7000 0.5112 0.4894 0.3032 0 '1200211201' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 111002 0.1662 0.7000 0.4603 0.4061 0.3699 0 '1211011010' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 111003 0.0911 0.5000 0.4084 0.4164 0.2020 0 '2001100102' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 111004 0.1219 0.6000 0.4520 0.4226 0.2265 0 '1201120100' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 111005 0.0086 0.0000 0.0000 0.1254 0.0760 0 '0000000000' 0.0345
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 111006 0.1041 0.3000 0.1450 0.3852 0.3075 1 '00111-0000' 0.3333
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 112001 0.0937 0.6000 0.5928 0.3799 0.3719 2 '21202-21-0' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 112002 0.1473 0.7000 0.5505 0.4530 0.4423 0 '0221210022' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 112003 0.1280 0.7000 0.5072 0.3497 0.3537 2 '0221-121-2' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 112004 0.1044 0.6000 0.6867 0.3796 0.3608 1 '220222020-' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 112005 0.1691 0.7000 0.4410 0.4336 0.4499 1 '01-1122022' 0.5000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 112006 0.1686 0.9000 0.6722 0.4330 0.4302 0 '1121222102' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 113001 0.0494 0.0000 0.0000 0.3078 0.1141 0 '0000000000' 0.0769
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 113002 0.0449 0.4000 0.3731 0.2456 0.1502 2 '200020-11-' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 113003 0.0114 0.1000 0.0367 0.1462 0.0416 1 '0-00001000' 0.1429
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 113004 0.0161 0.0000 0.0000 0.2093 0.0158 0 '0000000000' 0.0164
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 113005 0.0168 0.0000 0.0000 0.1538 0.0338 0 '0000000000' 0.0556
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 113006 0.0707 0.3000 0.3531 0.3223 0.1516 0 '2000000202' 1.0000
topTuneBvaried_Clef2016_unifield_b0.05_k1.2 0.05 114001 0.1353 0.2000 0.1694 0.4496 0.1248 0 '0110000000' 0.5000
