schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Hard2005_alpha0 0 303 0.4084 0.4000 0.5077 0.7907 0.4055 0 '2200200002' 1.0000
topTuneBoost_Hard2005_alpha0 0 307 0.2983 1.0000 0.5331 0.5038 0.4101 0 '1111111121' 1.0000
topTuneBoost_Hard2005_alpha0 0 310 0.0920 0.5000 0.3432 0.3267 0.1188 0 '1011200100' 1.0000
topTuneBoost_Hard2005_alpha0 0 314 0.0036 0.1000 0.0871 0.0910 0.0123 2 '000002--00' 0.1667
topTuneBoost_Hard2005_alpha0 0 322 0.0122 0.1000 0.1389 0.1332 0.0315 0 '0200000000' 0.5000
topTuneBoost_Hard2005_alpha0 0 325 0.4229 0.2000 0.1721 0.7226 0.6065 0 '1000000001' 1.0000
topTuneBoost_Hard2005_alpha0 0 330 0.2805 0.8000 0.6415 0.7022 0.2883 0 '1011101111' 1.0000
topTuneBoost_Hard2005_alpha0 0 336 0.4583 0.8000 0.5660 0.7311 0.4439 0 '2011121110' 1.0000
topTuneBoost_Hard2005_alpha0 0 341 0.0992 0.1000 0.1407 0.3925 0.1227 0 '1000000000' 1.0000
topTuneBoost_Hard2005_alpha0 0 344 0.0726 0.3000 0.2269 0.2878 0.1381 2 '11010-00-0' 1.0000
topTuneBoost_Hard2005_alpha0 0 345 0.0297 0.1000 0.0679 0.2866 0.0000 0 '0000000001' 0.1000
topTuneBoost_Hard2005_alpha0 0 347 0.2352 0.6000 0.5767 0.5834 0.2981 0 '0222220200' 0.5000
topTuneBoost_Hard2005_alpha0 0 353 0.0555 0.0000 0.0000 0.2833 0.0227 0 '0000000000' 0.0714
topTuneBoost_Hard2005_alpha0 0 354 0.1609 0.7000 0.7779 0.4745 0.3769 0 '2222020220' 1.0000
topTuneBoost_Hard2005_alpha0 0 362 0.2174 0.7000 0.4799 0.4946 0.2721 0 '1112102100' 1.0000
topTuneBoost_Hard2005_alpha0 0 363 0.1079 0.3000 0.3152 0.4621 0.1578 0 '0220000020' 0.5000
topTuneBoost_Hard2005_alpha0 0 367 0.0636 0.2000 0.1682 0.3831 0.0646 0 '0002002000' 0.2500
topTuneBoost_Hard2005_alpha0 0 372 0.0896 0.1000 0.0698 0.4496 0.0789 0 '0001000000' 0.2500
topTuneBoost_Hard2005_alpha0 0 374 0.5182 0.4000 0.3183 0.8094 0.6431 0 '0020020022' 0.3333
topTuneBoost_Hard2005_alpha0 0 375 0.2051 0.3000 0.2867 0.6408 0.1492 0 '0100010100' 0.5000
topTuneBoost_Hard2005_alpha0 0 378 0.1149 0.0000 0.0000 0.4641 0.1228 0 '0000000000' 0.0625
topTuneBoost_Hard2005_alpha0 0 383 0.0373 0.0000 0.0000 0.2779 0.0558 0 '0000000000' 0.0417
topTuneBoost_Hard2005_alpha0 0 389 0.0244 0.0000 0.0000 0.2136 0.0560 0 '0000000000' 0.0455
topTuneBoost_Hard2005_alpha0 0 393 0.0377 0.0000 0.0000 0.2453 0.0735 0 '0000000000' 0.0833
