schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Web_alpha0 0 250 0.0050 0.1000 0.0353 0.0271 0.0400 5 '--0---0001' 0.1000
topBm25fTuneBoost_Web_alpha0 0 251 0.0023 0.0000 0.0000 0.0332 0.0327 9 '-0--------' 0.0588
topBm25fTuneBoost_Web_alpha0 0 252 0.0477 0.7000 0.3294 0.1194 0.0718 1 '1-11111100' 1.0000
topBm25fTuneBoost_Web_alpha0 0 253 0.0294 0.5000 0.2227 0.0915 0.0638 2 '021-01012-' 0.5000
topBm25fTuneBoost_Web_alpha0 0 254 0.0002 0.0000 0.0000 0.0101 0.0209 6 '00-00-----' 0.0037
topBm25fTuneBoost_Web_alpha0 0 255 0.0006 0.0000 0.0000 0.0235 0.0000 7 '.--00-----' 0.0030
topBm25fTuneBoost_Web_alpha0 0 256 0.0452 0.4000 0.2260 0.1398 0.1101 6 '11---3-1--' 1.0000
topBm25fTuneBoost_Web_alpha0 0 257 0.0315 0.3000 0.1225 0.1272 0.1013 5 '0011--2---' 0.3333
topBm25fTuneBoost_Web_alpha0 0 258 0.0115 0.2000 0.1026 0.0482 0.0412 6 '01----0-1-' 0.5000
topBm25fTuneBoost_Web_alpha0 0 259 0.0565 0.7000 0.4783 0.1473 0.0882 3 '-1111111--' 0.5000
topBm25fTuneBoost_Web_alpha0 0 260 0.0183 0.1000 0.0858 0.0765 0.0799 8 '0-2-------' 0.3333
topBm25fTuneBoost_Web_alpha0 0 261 0.0485 0.1000 0.1498 0.1220 0.0816 7 '1--0---0--' 1.0000
topBm25fTuneBoost_Web_alpha0 0 262 0.0033 0.1000 0.0516 0.0375 0.0282 9 '----1-----' 0.2000
topBm25fTuneBoost_Web_alpha0 0 263 0.0094 0.1000 0.1177 0.0734 0.0573 6 '1--000----' 1.0000
topBm25fTuneBoost_Web_alpha0 0 264 0.0100 0.1000 0.0550 0.0848 0.0982 8 '-01-------' 0.3333
topBm25fTuneBoost_Web_alpha0 0 265 0.0777 0.2000 0.2617 0.3021 0.1723 5 '032--0-0--' 0.5000
topBm25fTuneBoost_Web_alpha0 0 266 0.0242 0.5000 0.6988 0.1695 0.0573 5 '4444-3----' 1.0000
topBm25fTuneBoost_Web_alpha0 0 267 0.0017 0.1000 0.0245 0.0079 0.0118 8 '---.--1---' 0.1429
topBm25fTuneBoost_Web_alpha0 0 268 0.0033 0.2000 0.0847 0.0265 0.0222 5 '-0-0-102--' 0.1667
topBm25fTuneBoost_Web_alpha0 0 269 0.0007 0.0000 0.0000 0.0386 0.0288 8 '0-0-------' 0.0200
topBm25fTuneBoost_Web_alpha0 0 270 0.0139 0.1000 0.1177 0.1145 0.1061 5 '02-0-0--0-' 0.5000
