schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Hard2003_alpha0 0 102 0.7206 1.0000 1.0000 0.9077 0.8577 0 '2222222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 105 0.2895 0.6000 0.5259 0.6537 0.2864 0 '0222102020' 0.5000
topBm25fTuneBoost_Hard2003_alpha0 0 115 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topBm25fTuneBoost_Hard2003_alpha0 0 116 0.4344 1.0000 0.7721 0.7631 0.6726 0 '2121121221' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 117 0.0005 0.0000 0.0000 0.0346 0.0000 0 '0000000000' 0.0087
topBm25fTuneBoost_Hard2003_alpha0 0 124 0.4377 0.4000 0.5104 0.7708 0.3600 0 '2200200020' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 146 0.1635 0.7000 0.6367 0.4748 0.3037 0 '1220020222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 147 0.3728 0.9000 0.9052 0.6306 0.5378 0 '2220222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 154 0.0394 0.0000 0.0000 0.2447 0.0000 0 '0000000000' 0.0286
topBm25fTuneBoost_Hard2003_alpha0 0 155 0.0700 0.2000 0.1884 0.4238 0.0811 0 '0010010000' 0.3333
topBm25fTuneBoost_Hard2003_alpha0 0 157 0.0760 0.5000 0.2934 0.1229 0.1572 0 '1101000101' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 171 0.2163 0.5000 0.4714 0.6261 0.3725 0 '2002201100' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 176 0.0019 0.0000 0.0000 0.0729 0.0000 0 '0000000000' 0.0079
topBm25fTuneBoost_Hard2003_alpha0 0 177 0.0047 0.0000 0.0000 0.1031 0.0000 0 '0000000000' 0.0090
topBm25fTuneBoost_Hard2003_alpha0 0 180 0.3105 0.5000 0.6325 0.7219 0.3356 0 '2220220000' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 182 0.1043 0.2000 0.2173 0.4468 0.1256 0 '0200020000' 0.5000
topBm25fTuneBoost_Hard2003_alpha0 0 186 0.0015 0.0000 0.0000 0.0774 0.0000 0 '0000000000' 0.0105
topBm25fTuneBoost_Hard2003_alpha0 0 187 0.0408 0.0000 0.0000 0.2516 0.1551 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2003_alpha0 0 190 0.0808 0.1000 0.0636 0.3818 0.0680 0 '0000000002' 0.1000
topBm25fTuneBoost_Hard2003_alpha0 0 194 0.2838 0.7000 0.5668 0.5835 0.3374 0 '0220022212' 0.5000
topBm25fTuneBoost_Hard2003_alpha0 0 196 0.5011 0.9000 0.9266 0.7936 0.6392 0 '2222220222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 198 0.1179 0.3000 0.1408 0.4396 0.2294 0 '0100001100' 0.5000
topBm25fTuneBoost_Hard2003_alpha0 0 203 0.3490 0.7000 0.4912 0.6455 0.2945 0 '1211002101' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 215 0.5908 0.2000 0.1357 0.8074 0.7115 0 '0000000220' 0.1250
topBm25fTuneBoost_Hard2003_alpha0 0 217 0.0591 0.0000 0.0000 0.3632 0.0000 0 '0000000000' 0.0227
topBm25fTuneBoost_Hard2003_alpha0 0 220 0.0123 0.0000 0.0000 0.2041 0.0000 0 '0000000000' 0.0070
topBm25fTuneBoost_Hard2003_alpha0 0 222 0.3279 0.8000 0.5897 0.5596 0.5338 0 '2001121122' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 223 0.4468 1.0000 0.5793 0.6393 0.6054 0 '1111212111' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 226 0.0923 0.1000 0.0550 0.4773 0.0305 0 '0010000000' 0.3333
topBm25fTuneBoost_Hard2003_alpha0 0 228 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topBm25fTuneBoost_Hard2003_alpha0 0 229 0.1273 1.0000 1.0000 0.2502 0.1273 0 '2222222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 231 0.0914 0.3000 0.4690 0.3077 0.0811 0 '1110000000' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 233 0.1871 0.3000 0.2785 0.5605 0.2868 0 '0200002020' 0.5000
topBm25fTuneBoost_Hard2003_alpha0 0 234 0.4215 0.8000 0.8701 0.7509 0.4414 0 '2222222200' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 235 0.0101 0.0000 0.0000 0.1690 0.0152 0 '0000000000' 0.0588
topBm25fTuneBoost_Hard2003_alpha0 0 237 0.6796 0.8000 0.5603 0.8060 0.7835 0 '0121212220' 0.5000
topBm25fTuneBoost_Hard2003_alpha0 0 33 0.3995 1.0000 1.0000 0.6523 0.5795 0 '2222222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 36 0.6198 0.9000 0.9266 0.8227 0.6131 0 '2222220222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 44 0.7020 0.8000 0.8454 0.9246 0.6289 0 '2222022022' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 48 0.5116 1.0000 0.9633 0.7319 0.7101 0 '2222221222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 51 0.4587 1.0000 1.0000 0.6537 0.5587 0 '2222222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 53 0.3425 0.3000 0.2180 0.6927 0.4342 0 '0000022020' 0.1667
topBm25fTuneBoost_Hard2003_alpha0 0 59 0.8135 0.6000 0.9280 0.9280 0.8056 0 '2202022200' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 65 0.5872 1.0000 1.0000 0.7507 0.6604 0 '2222222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 69 0.0837 0.6000 0.3886 0.2251 0.2017 0 '1110120010' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 70 0.3206 0.6000 0.3587 0.6431 0.3535 0 '1001001122' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 77 0.0401 0.4000 0.3469 0.2508 0.1126 0 '0022020002' 0.3333
topBm25fTuneBoost_Hard2003_alpha0 0 84 0.0504 0.0000 0.0000 0.3621 0.0118 0 '0000000000' 0.0357
topBm25fTuneBoost_Hard2003_alpha0 0 87 0.7243 0.7000 0.7910 0.9093 0.7128 0 '2222220002' 1.0000
topBm25fTuneBoost_Hard2003_alpha0 0 99 0.1908 0.6000 0.5456 0.5018 0.4079 0 '2201001210' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 102 0.7246 1.0000 1.0000 0.9086 0.8585 0 '2222222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 105 0.2847 0.6000 0.5259 0.6502 0.2889 0 '0222102020' 0.5000
topBm25fTuneBoost_Hard2003_alpha1 1 115 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topBm25fTuneBoost_Hard2003_alpha1 1 116 0.4468 1.0000 0.7620 0.7692 0.6844 0 '2112112221' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 117 0.0005 0.0000 0.0000 0.0344 0.0000 0 '0000000000' 0.0084
topBm25fTuneBoost_Hard2003_alpha1 1 124 0.4542 0.4000 0.5200 0.7809 0.3800 0 '2202000020' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 146 0.1681 0.7000 0.6367 0.4831 0.3089 0 '1220020222' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 147 0.3802 0.9000 0.9052 0.6455 0.5525 0 '2220222222' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 154 0.0394 0.0000 0.0000 0.2447 0.0000 0 '0000000000' 0.0286
topBm25fTuneBoost_Hard2003_alpha1 1 155 0.0691 0.2000 0.1884 0.4227 0.0811 0 '0010010000' 0.3333
topBm25fTuneBoost_Hard2003_alpha1 1 157 0.0790 0.5000 0.2967 0.1229 0.1534 0 '1101001010' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 171 0.2261 0.5000 0.4714 0.6309 0.3867 0 '2002201100' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 176 0.0020 0.0000 0.0000 0.0730 0.0000 0 '0000000000' 0.0081
topBm25fTuneBoost_Hard2003_alpha1 1 177 0.0049 0.0000 0.0000 0.1039 0.0000 0 '0000000000' 0.0095
topBm25fTuneBoost_Hard2003_alpha1 1 180 0.3133 0.5000 0.6325 0.7227 0.3395 0 '2220220000' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 182 0.1064 0.2000 0.2173 0.4487 0.1269 0 '0200020000' 0.5000
topBm25fTuneBoost_Hard2003_alpha1 1 186 0.0015 0.0000 0.0000 0.0778 0.0000 0 '0000000000' 0.0111
topBm25fTuneBoost_Hard2003_alpha1 1 187 0.0408 0.1000 0.0636 0.2485 0.1537 0 '0000000002' 0.1000
topBm25fTuneBoost_Hard2003_alpha1 1 190 0.0817 0.1000 0.0636 0.3901 0.0684 0 '0000000002' 0.1000
topBm25fTuneBoost_Hard2003_alpha1 1 194 0.2861 0.7000 0.5682 0.5892 0.3430 0 '0220022221' 0.5000
topBm25fTuneBoost_Hard2003_alpha1 1 196 0.5112 0.9000 0.9266 0.7921 0.6405 0 '2222220222' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 198 0.1191 0.3000 0.1408 0.4411 0.2281 0 '0100001100' 0.5000
topBm25fTuneBoost_Hard2003_alpha1 1 203 0.3488 0.7000 0.4912 0.6455 0.2945 0 '1211002101' 1.0000
topBm25fTuneBoost_Hard2003_alpha1 1 215 0.6106 0.3000 0.2090 0.8175 0.7286 0 '0000002220' 0.1429
topBm25fTuneBoost_Hard2003_alpha1 1 217 0.0596 0.0000 0.0000 0.3640 0.0000 0 '0000000000' 0.0233
