schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Web_alpha0 0 253 0.0261 0.4000 0.1766 0.0889 0.0640 3 '0210-1--01' 0.5000
topTuneBoost_Web_alpha0 0 254 0.0002 0.0000 0.0000 0.0103 0.0211 6 '00-00-----' 0.0042
topTuneBoost_Web_alpha0 0 255 0.0006 0.0000 0.0000 0.0237 0.0000 7 '.-----0--0' 0.0032
topTuneBoost_Web_alpha0 0 256 0.0354 0.3000 0.1925 0.1264 0.0990 7 '1-1--3----' 1.0000
topTuneBoost_Web_alpha0 0 257 0.0326 0.3000 0.1176 0.1276 0.1014 4 '0011----20' 0.3333
topTuneBoost_Web_alpha0 0 258 0.0113 0.2000 0.1026 0.0478 0.0420 7 '01------1-' 0.5000
topTuneBoost_Web_alpha0 0 259 0.0551 0.7000 0.4731 0.1463 0.0883 3 '-11111-11-' 0.5000
topTuneBoost_Web_alpha0 0 260 0.0235 0.1000 0.1083 0.0908 0.0799 8 '02--------' 0.5000
topTuneBoost_Web_alpha0 0 261 0.0479 0.1000 0.1498 0.1194 0.0794 8 '1-----0---' 1.0000
topTuneBoost_Web_alpha0 0 262 0.0029 0.1000 0.0402 0.0357 0.0282 9 '--------1-' 0.1111
topTuneBoost_Web_alpha0 0 263 0.0085 0.1000 0.0743 0.0685 0.0574 7 '01----0---' 0.5000
topTuneBoost_Web_alpha0 0 264 0.0128 0.1000 0.0550 0.0909 0.0982 8 '-01-------' 0.3333
topTuneBoost_Web_alpha0 0 265 0.0663 0.2000 0.2357 0.2887 0.1723 5 '03---20--0' 0.5000
topTuneBoost_Web_alpha0 0 266 0.0250 0.5000 0.6880 0.1716 0.0614 5 '444-43----' 1.0000
topTuneBoost_Web_alpha0 0 267 0.0013 0.1000 0.0221 0.0071 0.0118 8 '--.-----1-' 0.1111
topTuneBoost_Web_alpha0 0 268 0.0038 0.2000 0.0935 0.0296 0.0222 5 '-00-20-1--' 0.2000
topTuneBoost_Web_alpha0 0 269 0.0008 0.0000 0.0000 0.0388 0.0302 8 '0------0--' 0.0204
topTuneBoost_Web_alpha0 0 270 0.0155 0.1000 0.1177 0.1191 0.1072 5 '020-00----' 0.5000
topTuneBoost_Web_alpha0 0 271 0.0111 0.1000 0.0534 0.0446 0.0578 6 '0-0--1---0' 0.1667
topTuneBoost_Web_alpha0 0 272 0.0126 0.3000 0.1706 0.0821 0.0728 7 '11---1----' 1.0000
topTuneBoost_Web_alpha0 0 273 0.0710 0.4000 0.3645 0.2766 0.1637 3 '-04340-04-' 0.3333
topTuneBoost_Web_alpha0 0 274 0.0055 0.2000 0.0524 0.0488 0.0756 6 '---0-011--' 0.1429
topTuneBoost_Web_alpha0 0 275 0.0000 0.0000 0.0000 0.0000 0.0000 6 '0--0-0---0' 0.0000
topTuneBoost_Web_alpha0 0 276 0.0090 0.2000 0.0707 0.0518 0.0495 8 '-1----1---' 0.5000
topTuneBoost_Web_alpha0 0 277 0.0000 0.0000 0.0000 0.0047 0.0135 8 '0-0-------' 0.0028
topTuneBoost_Web_alpha0 0 278 0.0000 0.0000 0.0000 0.0000 0.0000 8 '--0--0----' 0.0000
topTuneBoost_Web_alpha0 0 279 0.0112 0.2000 0.1076 0.0687 0.0585 4 '0020--1--0' 0.3333
topTuneBoost_Web_alpha0 0 280 0.0053 0.2000 0.1290 0.0698 0.0683 5 '000---3-1-' 0.1429
topTuneBoost_Web_alpha0 0 281 0.0119 0.2000 0.0841 0.0698 0.0649 6 '---1-01-0-' 0.2500
topTuneBoost_Web_alpha0 0 282 0.0197 0.4000 0.3156 0.1164 0.0958 5 '01-11---1-' 0.5000
topTuneBoost_Web_alpha0 0 283 0.0505 0.4000 0.2613 0.1432 0.0724 5 '2111----0-' 1.0000
topTuneBoost_Web_alpha0 0 284 0.0420 0.6000 0.4435 0.1627 0.0863 4 '21-3132---' 1.0000
topTuneBoost_Web_alpha0 0 285 0.0338 0.7000 0.4463 0.1100 0.0465 3 '22112--41-' 1.0000
topTuneBoost_Web_alpha0 0 286 0.0113 0.2000 0.1311 0.0590 0.0481 7 '1-----0--2' 1.0000
topTuneBoost_Web_alpha0 0 287 0.0035 0.1000 0.0560 0.0277 0.0208 8 '--0--2----' 0.1667
topTuneBoost_Web_alpha0 0 288 0.0206 0.3000 0.2341 0.0963 0.0621 6 '1012------' 1.0000
topTuneBoost_Web_alpha0 0 289 0.0003 0.0000 0.0000 0.0167 0.0326 8 '-0---0----' 0.0087
topTuneBoost_Web_alpha0 0 290 0.0167 0.1000 0.1389 0.0689 0.0322 6 '010----0--' 0.5000
topTuneBoost_Web_alpha0 0 291 0.0076 0.1000 0.0364 0.0280 0.0393 6 '000--1----' 0.1667
topTuneBoost_Web_alpha0 0 292 0.0128 0.2000 0.1717 0.0796 0.0575 8 '1-2-------' 1.0000
topTuneBoost_Web_alpha0 0 293 0.0037 0.1000 0.0750 0.0363 0.0326 9 '--2-------' 0.3333
topTuneBoost_Web_alpha0 0 294 0.0007 0.1000 0.0663 0.0246 0.0263 7 '---0--0-2-' 0.1111
topTuneBoost_Web_alpha0 0 295 0.0504 0.4000 0.4393 0.1608 0.0695 2 '211200-0-0' 1.0000
topTuneBoost_Web_alpha0 0 296 0.0224 0.4000 0.2149 0.0776 0.0379 6 '11-1-----3' 1.0000
topTuneBoost_Web_alpha0 0 297 0.0123 0.3000 0.2989 0.0814 0.0537 6 '1----1--10' 1.0000
topTuneBoost_Web_alpha0 0 298 0.0131 0.3000 0.0930 0.1246 0.0913 7 '--2--11---' 0.3333
topTuneBoost_Web_alpha0 0 299 0.0000 0.0000 0.0000 0.0000 0.0000 10 '----------' 0.0000
topTuneBoost_Web_alpha0 0 300 0.0000 0.0000 0.0000 0.0058 0.0140 8 '--00------' 0.0015
topTuneBoost_Web_alpha1 1 201 0.0541 0.5000 0.2377 0.1538 0.1133 0 '0110010101' 0.5000
topTuneBoost_Web_alpha1 1 202 0.0000 0.0000 0.0000 0.0000 0.0000 1 '000000000-' 0.0000
topTuneBoost_Web_alpha1 1 203 0.0213 0.2000 0.2833 0.1439 0.1118 6 '3002------' 1.0000
topTuneBoost_Web_alpha1 1 204 0.0394 0.2000 0.1065 0.1532 0.1459 1 '000020-010' 0.2000
topTuneBoost_Web_alpha1 1 205 0.0505 0.5000 0.1548 0.1288 0.1333 2 '0001-1111-' 0.2500
topTuneBoost_Web_alpha1 1 206 0.0104 0.1000 0.0402 0.1266 0.1432 7 '0----0-1--' 0.1250
topTuneBoost_Web_alpha1 1 207 0.0360 0.2000 0.0774 0.1412 0.1356 0 '0100000010' 0.5000
topTuneBoost_Web_alpha1 1 208 0.0651 0.4000 0.2317 0.1686 0.1157 0 '1002001001' 1.0000
topTuneBoost_Web_alpha1 1 209 0.0110 0.1000 0.0622 0.0565 0.0592 3 '00---02000' 0.1429
topTuneBoost_Web_alpha1 1 210 0.0128 0.1000 0.0776 0.0960 0.0555 0 '0000020000' 0.1667
topTuneBoost_Web_alpha1 1 211 0.0951 0.7000 0.2852 0.2260 0.2128 1 '0-21101111' 0.3333
topTuneBoost_Web_alpha1 1 212 0.0013 0.0000 0.0000 0.0584 0.0000 4 '-000-0-00-' 0.0093
topTuneBoost_Web_alpha1 1 213 0.0408 0.3000 0.2911 0.2068 0.1920 4 '2-0-010--1' 1.0000
topTuneBoost_Web_alpha1 1 214 0.1030 0.5000 0.3829 0.2531 0.2127 5 '11-2-1-2--' 1.0000
topTuneBoost_Web_alpha1 1 215 0.1712 0.8000 0.5406 0.3325 0.2570 1 '1111011-11' 1.0000
topTuneBoost_Web_alpha1 1 216 0.0697 0.7000 0.3072 0.1841 0.1629 3 '1--12221-1' 1.0000
topTuneBoost_Web_alpha1 1 217 0.0823 0.8000 0.3757 0.1890 0.1601 1 '111-011121' 1.0000
