schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 244 0.0613 0.2000 0.1033 0.1779 0.1315 4 '0000-11---' 0.1667
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 245 0.0025 0.0000 0.0000 0.0245 0.0000 5 '00--0--00-' 0.0222
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 246 0.0037 0.0000 0.0000 0.0421 0.0520 3 '00000-00--' 0.0769
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 247 0.0010 0.0000 0.0000 0.0207 0.0243 6 '0---0--0-0' 0.0238
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 248 0.0057 0.1000 0.0517 0.0523 0.0452 3 '000-0-002-' 0.1111
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 249 0.0075 0.0000 0.0000 0.1021 0.1095 5 '0---00--00' 0.0323
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 250 0.0045 0.0000 0.0000 0.0261 0.0375 5 '--0--0000-' 0.0909
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 251 0.0023 0.0000 0.0000 0.0330 0.0327 9 '----0-----' 0.0588
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 252 0.0420 0.6000 0.2897 0.1155 0.0713 2 '1-111001-1' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 253 0.0241 0.4000 0.1686 0.0862 0.0640 3 '020-1-110-' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 254 0.0002 0.0000 0.0000 0.0104 0.0211 6 '0-000-----' 0.0044
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 255 0.0006 0.0000 0.0000 0.0235 0.0000 7 '.-----0-0-' 0.0030
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 256 0.0365 0.3000 0.1994 0.1297 0.0992 7 '1-1-3-----' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 257 0.0343 0.2000 0.0714 0.1137 0.0923 5 '0011-----0' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 258 0.0108 0.2000 0.1012 0.0469 0.0418 7 '01-------1' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 259 0.0593 0.7000 0.5329 0.1613 0.0883 3 '1-1111-11-' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 260 0.0233 0.1000 0.1083 0.0905 0.0799 8 '02--------' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 261 0.0242 0.1000 0.0945 0.0804 0.0771 8 '-1----0---' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 262 0.0030 0.2000 0.0788 0.0364 0.0282 8 '--------11' 0.1111
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 263 0.0118 0.1000 0.1177 0.0799 0.0574 7 '10-0------' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 264 0.0128 0.1000 0.0550 0.0910 0.0982 8 '-01-------' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 265 0.0414 0.2000 0.1960 0.1769 0.1293 5 '0-30--20--' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 266 0.0048 0.1000 0.1169 0.0567 0.0488 9 '-3--------' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 267 0.0011 0.0000 0.0000 0.0066 0.0118 9 '--.-------' 0.0909
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 268 0.0050 0.2000 0.1002 0.0314 0.0223 5 '-010--2--0' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 269 0.0000 0.0000 0.0000 0.0000 0.0000 8 '0----0----' 0.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 270 0.0162 0.1000 0.1177 0.1191 0.1095 5 '020-----00' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 271 0.0067 0.1000 0.0433 0.0362 0.0533 6 '00--0----1' 0.1000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 272 0.0127 0.3000 0.1706 0.0842 0.0769 7 '11---1----' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 273 0.0119 0.1000 0.0905 0.0728 0.0469 6 '-030--0---' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 274 0.0061 0.2000 0.0556 0.0562 0.0846 6 '--0-011---' 0.1667
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 275 0.0000 0.0000 0.0000 0.0000 0.0000 7 '0---00----' 0.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 276 0.0086 0.2000 0.0694 0.0510 0.0495 8 '-1-----1--' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 277 0.0000 0.0000 0.0000 0.0046 0.0130 7 '-00-----0-' 0.0024
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 278 0.0000 0.0000 0.0000 0.0000 0.0000 7 '0-0--0----' 0.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 279 0.0128 0.2000 0.1306 0.0773 0.0586 5 '020-01----' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 280 0.0047 0.2000 0.1290 0.0677 0.0681 5 '000---3-1-' 0.1429
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 281 0.0108 0.2000 0.0773 0.0671 0.0649 6 '----1001--' 0.2000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 282 0.0213 0.4000 0.3259 0.1193 0.0960 4 '011-1--0-1' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 283 0.0500 0.4000 0.2342 0.1314 0.0724 5 '1211-0----' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 284 0.0408 0.6000 0.4435 0.1615 0.0863 4 '21-3132---' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 285 0.0315 0.7000 0.3756 0.0927 0.0419 3 '2211-2--11' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 286 0.0113 0.2000 0.1311 0.0589 0.0482 8 '1--------2' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 287 0.0035 0.1000 0.0560 0.0277 0.0208 8 '-0---2----' 0.1667
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 288 0.0207 0.3000 0.2341 0.0958 0.0620 6 '1012------' 1.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 289 0.0003 0.0000 0.0000 0.0168 0.0326 8 '-0---0----' 0.0097
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 290 0.0111 0.1000 0.1100 0.0546 0.0311 5 '001-----00' 0.3333
