schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 102 0.6992 1.0000 0.8205 0.8958 0.8553 0 '1122222222' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 105 0.4927 0.8000 0.8135 0.8017 0.4701 0 '2222200122' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 115 0.0185 0.0000 0.0000 0.1602 0.0000 0 '0000000000' 0.0909
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 116 0.4153 1.0000 0.7886 0.7544 0.6472 0 '2211211212' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 117 0.0028 0.0000 0.0000 0.0465 0.0106 1 '00000000-0' 0.0208
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 124 0.3840 0.3000 0.4690 0.7302 0.3000 0 '2220000000' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 146 0.1623 0.4000 0.5232 0.4892 0.3257 0 '2202000200' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 147 0.3731 1.0000 1.0000 0.6499 0.5669 0 '2222222222' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 154 0.0950 0.2000 0.1695 0.3216 0.0000 0 '0000000220' 0.1250
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 155 0.1050 0.1000 0.1389 0.4953 0.0930 0 '0100000000' 0.5000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 157 0.0677 0.5000 0.3138 0.1228 0.1617 1 '1110101-00' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 171 0.1361 0.5000 0.4074 0.4660 0.2734 0 '1100202200' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 176 0.0043 0.0000 0.0000 0.0887 0.0000 0 '0000000000' 0.0052
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 177 0.0053 0.0000 0.0000 0.1143 0.0000 0 '0000000000' 0.0200
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 180 0.3713 0.6000 0.5508 0.7413 0.4260 0 '2000212202' 1.0000
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 182 0.0062 0.0000 0.0000 0.1680 0.0092 2 '00-00000-0' 0.0139
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 186 0.0033 0.0000 0.0000 0.0885 0.0000 0 '0000000000' 0.0089
topTuneBvaried_Hard2003_unifield_b0.05_k1.2 0.05 187 0.0351 0.3000 0.2728 0.2524 0.1569 1 '02020100-0' 0.5000
