schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Clef2016_alpha0 0 101001 0.4451 0.6000 0.5525 0.7794 0.5863 0 '2020210021' 1.0000
topTuneBoost_Clef2016_alpha0 0 101002 0.4280 0.7000 0.4457 0.7528 0.5516 0 '0202101121' 0.5000
topTuneBoost_Clef2016_alpha0 0 101003 0.5218 0.9000 0.7199 0.7977 0.5958 0 '2122121110' 1.0000
topTuneBoost_Clef2016_alpha0 0 101004 0.4783 0.8000 0.4083 0.7439 0.5871 0 '0121110111' 0.5000
topTuneBoost_Clef2016_alpha0 0 101005 0.4333 0.7000 0.4040 0.7447 0.5502 0 '0021021112' 0.3333
topTuneBoost_Clef2016_alpha0 0 101006 0.5647 0.8000 0.5017 0.7750 0.6578 0 '1100121122' 1.0000
topTuneBoost_Clef2016_alpha0 0 102001 0.1217 0.7000 0.5359 0.2885 0.2746 2 '121112--02' 1.0000
topTuneBoost_Clef2016_alpha0 0 102002 0.2133 0.9000 0.5946 0.4210 0.4272 1 '112111221-' 1.0000
topTuneBoost_Clef2016_alpha0 0 102003 0.1295 0.9000 0.4633 0.2334 0.2196 1 '111111-111' 1.0000
topTuneBoost_Clef2016_alpha0 0 102004 0.1929 0.9000 0.6669 0.3954 0.4070 1 '21122111-1' 1.0000
topTuneBoost_Clef2016_alpha0 0 102005 0.0973 1.0000 0.8923 0.3471 0.3197 0 '2222211221' 1.0000
topTuneBoost_Clef2016_alpha0 0 102006 0.1642 0.9000 0.5699 0.3736 0.3797 0 '1111201212' 1.0000
topTuneBoost_Clef2016_alpha0 0 103001 0.0671 0.1000 0.1498 0.3202 0.1074 0 '1000000000' 1.0000
topTuneBoost_Clef2016_alpha0 0 103002 0.0729 0.3000 0.1974 0.3067 0.1745 2 '0011100-0-' 0.3333
topTuneBoost_Clef2016_alpha0 0 103003 0.0869 0.3000 0.4679 0.4217 0.1414 2 '0222000-0-' 0.5000
topTuneBoost_Clef2016_alpha0 0 103004 0.0033 0.0000 0.0000 0.0913 0.0000 0 '0000000000' 0.0137
topTuneBoost_Clef2016_alpha0 0 103005 0.0187 0.1000 0.0580 0.1753 0.0606 5 '0-001---0-' 0.2000
topTuneBoost_Clef2016_alpha0 0 103006 0.0853 0.2000 0.2247 0.3604 0.0882 2 '1010-00-00' 1.0000
topTuneBoost_Clef2016_alpha0 0 104001 0.0643 0.2000 0.3019 0.3554 0.0666 3 '1200--0-00' 1.0000
topTuneBoost_Clef2016_alpha0 0 104002 0.0777 0.3000 0.2942 0.3284 0.1408 2 '100120-00-' 1.0000
topTuneBoost_Clef2016_alpha0 0 104003 0.0777 0.3000 0.2942 0.3284 0.1408 2 '100120-00-' 1.0000
topTuneBoost_Clef2016_alpha0 0 104004 0.0186 0.0000 0.0000 0.2042 0.0369 0 '0000000000' 0.0370
topTuneBoost_Clef2016_alpha0 0 104005 0.0306 0.2000 0.0866 0.2552 0.0681 1 '0000-01100' 0.1429
topTuneBoost_Clef2016_alpha0 0 104006 0.0718 0.3000 0.1406 0.3086 0.1810 2 '0001-010-1' 0.2500
topTuneBoost_Clef2016_alpha0 0 105001 0.0878 0.3000 0.2876 0.3815 0.2798 0 '0200200002' 0.5000
topTuneBoost_Clef2016_alpha0 0 105002 0.0065 0.0000 0.0000 0.1208 0.0795 5 '00--00--0-' 0.0370
topTuneBoost_Clef2016_alpha0 0 105003 0.0012 0.0000 0.0000 0.0395 0.0409 2 '000000--00' 0.0167
topTuneBoost_Clef2016_alpha0 0 105004 0.0898 0.5000 0.5203 0.2608 0.1456 3 '21210-2--0' 1.0000
topTuneBoost_Clef2016_alpha0 0 105005 0.0033 0.1000 0.0392 0.0470 0.0400 5 '----01000-' 0.1667
topTuneBoost_Clef2016_alpha0 0 105006 0.0199 0.1000 0.2201 0.1473 0.1027 0 '2000000000' 1.0000
topTuneBoost_Clef2016_alpha0 0 106001 0.0420 0.3000 0.1998 0.1761 0.1618 1 '10100001-0' 1.0000
topTuneBoost_Clef2016_alpha0 0 106002 0.0312 0.4000 0.4153 0.1692 0.1609 1 '200102020-' 1.0000
topTuneBoost_Clef2016_alpha0 0 106003 0.0000 0.0000 0.0000 0.0018 0.0042 7 '00-----0--' 0.0018
topTuneBoost_Clef2016_alpha0 0 106004 0.1401 1.0000 1.0000 0.4045 0.3098 0 '2222222222' 1.0000
topTuneBoost_Clef2016_alpha0 0 106005 0.0172 0.2000 0.1245 0.0995 0.1282 4 '0110---00-' 0.5000
topTuneBoost_Clef2016_alpha0 0 106006 0.1132 0.9000 0.5381 0.2806 0.2411 1 '1-11211122' 1.0000
topTuneBoost_Clef2016_alpha0 0 107001 0.0057 0.0000 0.0000 0.1102 0.0918 8 '-----0--0-' 0.0417
topTuneBoost_Clef2016_alpha0 0 107002 0.0089 0.1000 0.0851 0.0793 0.0409 2 '0000200-0-' 0.2000
topTuneBoost_Clef2016_alpha0 0 107003 0.0142 0.1000 0.0347 0.1865 0.0643 0 '0000000100' 0.1250
topTuneBoost_Clef2016_alpha0 0 107004 0.0794 0.1000 0.0694 0.3708 0.2323 1 '000000-200' 0.1250
topTuneBoost_Clef2016_alpha0 0 107005 0.0225 0.1000 0.0347 0.2274 0.0778 2 '0000-001-0' 0.1250
topTuneBoost_Clef2016_alpha0 0 107006 0.0514 0.1000 0.0948 0.3113 0.1579 2 '00020-00-0' 0.2500
topTuneBoost_Clef2016_alpha0 0 108001 0.0588 0.1000 0.0663 0.3404 0.0799 1 '00-0000020' 0.1111
topTuneBoost_Clef2016_alpha0 0 108002 0.0169 0.0000 0.0000 0.2020 0.0226 1 '00000000-0' 0.0476
topTuneBoost_Clef2016_alpha0 0 108003 0.0034 0.0000 0.0000 0.0847 0.0000 2 '0000--0000' 0.0222
topTuneBoost_Clef2016_alpha0 0 108004 0.0050 0.0000 0.0000 0.1544 0.0000 0 '0000000000' 0.0060
topTuneBoost_Clef2016_alpha0 0 108005 0.0276 0.0000 0.0000 0.2870 0.0017 2 '-00-000000' 0.0263
topTuneBoost_Clef2016_alpha0 0 108006 0.0256 0.0000 0.0000 0.2765 0.0226 0 '0000000000' 0.0588
topTuneBoost_Clef2016_alpha0 0 109001 0.0002 0.0000 0.0000 0.0156 0.0000 1 '00-0000000' 0.0056
topTuneBoost_Clef2016_alpha0 0 109002 0.0402 0.2000 0.1799 0.1820 0.1097 0 '0001100000' 0.2500
topTuneBoost_Clef2016_alpha0 0 109003 0.0414 0.1000 0.2201 0.1581 0.0617 3 '100000---0' 1.0000
topTuneBoost_Clef2016_alpha0 0 109004 0.0099 0.1000 0.0851 0.0955 0.0329 1 '00-0100000' 0.2000
topTuneBoost_Clef2016_alpha0 0 109005 0.0120 0.0000 0.0000 0.1579 0.0508 2 '000-000-00' 0.0476
topTuneBoost_Clef2016_alpha0 0 109006 0.0000 0.0000 0.0000 0.0000 0.0000 1 '0000000-00' 0.0000
topTuneBoost_Clef2016_alpha0 0 110001 0.0845 0.2000 0.1732 0.4061 0.4467 8 '---2-2----' 0.2500
topTuneBoost_Clef2016_alpha0 0 110002 0.1805 0.8000 0.4776 0.4689 0.4384 1 '111121110-' 1.0000
topTuneBoost_Clef2016_alpha0 0 110003 0.0004 0.0000 0.0000 0.0117 0.0186 4 '00000--0--' 0.0455
topTuneBoost_Clef2016_alpha0 0 110004 0.1259 0.8000 0.5471 0.3972 0.3743 1 '110112-222' 1.0000
topTuneBoost_Clef2016_alpha0 0 110005 0.0121 0.1000 0.0474 0.1056 0.1232 1 '000100000-' 0.2500
topTuneBoost_Clef2016_alpha0 0 110006 0.0787 0.6000 0.6840 0.3640 0.3113 0 '2220200022' 1.0000
topTuneBoost_Clef2016_alpha0 0 111001 0.1560 0.7000 0.5208 0.4909 0.3011 0 '1202011201' 1.0000
topTuneBoost_Clef2016_alpha0 0 111002 0.1659 0.7000 0.4619 0.4016 0.3649 0 '1211011100' 1.0000
topTuneBoost_Clef2016_alpha0 0 111003 0.0904 0.5000 0.4068 0.4155 0.1990 0 '2001100012' 1.0000
topTuneBoost_Clef2016_alpha0 0 111004 0.1230 0.6000 0.4540 0.4239 0.2269 0 '1201121000' 1.0000
topTuneBoost_Clef2016_alpha0 0 111005 0.0088 0.0000 0.0000 0.1260 0.0775 0 '0000000000' 0.0370
topTuneBoost_Clef2016_alpha0 0 111006 0.0986 0.3000 0.1416 0.3794 0.3024 1 '00110100-0' 0.3333
topTuneBoost_Clef2016_alpha0 0 112001 0.0952 0.6000 0.5630 0.3798 0.3780 2 '2102-21-02' 1.0000
topTuneBoost_Clef2016_alpha0 0 112002 0.1550 0.6000 0.5562 0.4658 0.4429 0 '2021021002' 1.0000
topTuneBoost_Clef2016_alpha0 0 112003 0.1298 0.7000 0.4984 0.3567 0.3620 2 '022--21211' 0.5000
topTuneBoost_Clef2016_alpha0 0 112004 0.1098 0.6000 0.6867 0.3879 0.3687 1 '220222020-' 1.0000
topTuneBoost_Clef2016_alpha0 0 112005 0.1743 0.7000 0.4371 0.4356 0.4506 1 '01-1120222' 0.5000
topTuneBoost_Clef2016_alpha0 0 112006 0.1748 0.9000 0.7037 0.4532 0.4544 0 '1121222022' 1.0000
topTuneBoost_Clef2016_alpha0 0 113001 0.0498 0.0000 0.0000 0.3165 0.1128 0 '0000000000' 0.0769
topTuneBoost_Clef2016_alpha0 0 113002 0.0469 0.4000 0.3699 0.2457 0.1544 1 '2000-21100' 1.0000
topTuneBoost_Clef2016_alpha0 0 113003 0.0108 0.1000 0.0347 0.1410 0.0410 1 '0-00000100' 0.1250
topTuneBoost_Clef2016_alpha0 0 113004 0.0159 0.0000 0.0000 0.2098 0.0149 0 '0000000000' 0.0175
topTuneBoost_Clef2016_alpha0 0 113005 0.0165 0.0000 0.0000 0.1533 0.0336 0 '0000000000' 0.0588
topTuneBoost_Clef2016_alpha0 0 113006 0.0682 0.3000 0.3531 0.3189 0.1498 0 '2000000202' 1.0000
topTuneBoost_Clef2016_alpha0 0 114001 0.1258 0.2000 0.1591 0.4402 0.1096 0 '0101000000' 0.5000
topTuneBoost_Clef2016_alpha0 0 114002 0.0224 0.0000 0.0000 0.2509 0.0000 0 '0000000000' 0.0196
topTuneBoost_Clef2016_alpha0 0 114003 0.0940 0.2000 0.2104 0.4082 0.1229 1 '01002-0000' 0.5000
topTuneBoost_Clef2016_alpha0 0 114004 0.0864 0.2000 0.2566 0.3444 0.1248 0 '1000020000' 1.0000
topTuneBoost_Clef2016_alpha0 0 114005 0.0224 0.0000 0.0000 0.2509 0.0000 0 '0000000000' 0.0196
topTuneBoost_Clef2016_alpha0 0 114006 0.0764 0.1000 0.1891 0.3880 0.0832 0 '0200000000' 0.5000
topTuneBoost_Clef2016_alpha0 0 115001 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBoost_Clef2016_alpha0 0 115002 0.0689 0.1000 0.0734 0.4078 0.1059 0 '0000002000' 0.1429
topTuneBoost_Clef2016_alpha0 0 115003 0.1061 0.3000 0.1938 0.4365 0.1854 0 '0000210200' 0.2000
topTuneBoost_Clef2016_alpha0 0 115004 0.0929 0.2000 0.0759 0.4176 0.0950 0 '0000011000' 0.1667
topTuneBoost_Clef2016_alpha0 0 115005 0.0157 0.0000 0.0000 0.2283 0.0093 0 '0000000000' 0.0256
topTuneBoost_Clef2016_alpha0 0 115006 0.0059 0.0000 0.0000 0.1460 0.0134 0 '0000000000' 0.0333
