schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Hard2005_alpha0 0 651 0.0038 0.0000 0.0000 0.0749 0.0191 0 '0000000000' 0.0333
topBm25fTuneBoost_Hard2005_alpha0 0 658 0.2015 0.5000 0.3192 0.5372 0.2623 0 '0100200122' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 689 0.0326 0.0000 0.0000 0.2679 0.0677 0 '0000000000' 0.0476
topBm25fTuneBoost_Hard2005_alpha1 1 303 0.3856 0.4000 0.5135 0.7791 0.3883 0 '2200200200' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 307 0.3048 1.0000 0.5331 0.5031 0.4125 0 '1111111121' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 310 0.0841 0.5000 0.3237 0.3112 0.1143 0 '1011000120' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 314 0.0019 0.0000 0.0000 0.0698 0.0106 0 '0000000000' 0.0556
topBm25fTuneBoost_Hard2005_alpha1 1 322 0.0054 0.1000 0.0784 0.0916 0.0208 0 '0000020000' 0.1667
topBm25fTuneBoost_Hard2005_alpha1 1 325 0.4085 0.2000 0.1228 0.7063 0.5888 0 '0100000001' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 330 0.2794 0.8000 0.6489 0.7051 0.2776 0 '1011111011' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 336 0.4412 0.8000 0.4694 0.6754 0.4348 0 '0121211101' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 341 0.1029 0.1000 0.1407 0.3941 0.1205 0 '1000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 344 0.0421 0.3000 0.2018 0.2185 0.0886 2 '1-10001-00' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 345 0.0304 0.0000 0.0000 0.3103 0.0000 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha1 1 347 0.2346 0.7000 0.6118 0.5849 0.2939 0 '0220220222' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 353 0.0580 0.0000 0.0000 0.2874 0.0249 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha1 1 354 0.1658 0.8000 0.8604 0.4846 0.3854 0 '2222220202' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 362 0.2187 0.7000 0.4699 0.5123 0.2739 0 '1112100021' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 363 0.1132 0.3000 0.3125 0.4652 0.1713 0 '0220000002' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 367 0.0558 0.1000 0.0851 0.3678 0.0564 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha1 1 372 0.0899 0.1000 0.0698 0.4438 0.0800 0 '0001000000' 0.2500
topBm25fTuneBoost_Hard2005_alpha1 1 374 0.5319 0.7000 0.6635 0.8374 0.6511 0 '2020212220' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 375 0.2086 0.3000 0.2974 0.6450 0.1488 0 '0100101000' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 378 0.1249 0.0000 0.0000 0.4688 0.1535 0 '0000000000' 0.0833
topBm25fTuneBoost_Hard2005_alpha1 1 383 0.0365 0.0000 0.0000 0.2688 0.0651 0 '0000000000' 0.0476
topBm25fTuneBoost_Hard2005_alpha1 1 389 0.0230 0.0000 0.0000 0.2054 0.0534 0 '0000000000' 0.0455
topBm25fTuneBoost_Hard2005_alpha1 1 393 0.0362 0.2000 0.1357 0.2468 0.0695 0 '0000000220' 0.1250
topBm25fTuneBoost_Hard2005_alpha1 1 394 0.4709 1.0000 1.0000 0.7064 0.4830 0 '1111111111' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 397 0.0356 0.3000 0.3188 0.1995 0.0726 0 '0101100000' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 399 0.1930 0.6000 0.6204 0.4400 0.3186 0 '2201020220' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 401 0.0808 0.2000 0.1642 0.3868 0.1065 0 '0002000200' 0.2500
topBm25fTuneBoost_Hard2005_alpha1 1 404 0.2494 0.3000 0.2113 0.5687 0.4126 0 '0020000201' 0.3333
topBm25fTuneBoost_Hard2005_alpha1 1 408 0.0968 0.1000 0.0851 0.4226 0.0954 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha1 1 409 0.3052 0.4000 0.2875 0.7048 0.3158 0 '0201000201' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 416 0.3425 0.5000 0.2397 0.7043 0.3080 0 '0111000110' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 419 0.0856 0.2000 0.1737 0.3431 0.1315 0 '0020000002' 0.3333
topBm25fTuneBoost_Hard2005_alpha1 1 426 0.0657 0.0000 0.0000 0.2990 0.1545 0 '0000000000' 0.0714
topBm25fTuneBoost_Hard2005_alpha1 1 427 0.2739 0.8000 0.6033 0.5762 0.3103 0 '1200112222' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 433 0.0744 0.1000 0.2201 0.2965 0.0370 0 '2000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 435 0.2171 0.3000 0.1528 0.5742 0.2444 0 '0000120001' 0.2000
topBm25fTuneBoost_Hard2005_alpha1 1 436 0.4569 0.6000 0.3760 0.6322 0.6065 0 '0210111002' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 439 0.0376 0.2000 0.1110 0.2709 0.0698 0 '0001000002' 0.2500
topBm25fTuneBoost_Hard2005_alpha1 1 443 0.0906 0.2000 0.1584 0.3793 0.2169 0 '0002000002' 0.2500
topBm25fTuneBoost_Hard2005_alpha1 1 448 0.0166 0.0000 0.0000 0.2217 0.0178 0 '0000000000' 0.0833
topBm25fTuneBoost_Hard2005_alpha1 1 622 0.1990 0.9000 0.8742 0.5903 0.3411 0 '2221202222' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 625 0.0142 0.1000 0.1100 0.1408 0.0219 0 '1000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 638 0.1218 0.5000 0.2683 0.3414 0.2853 1 '0012111-00' 0.3333
topBm25fTuneBoost_Hard2005_alpha1 1 639 0.1722 0.1000 0.0318 0.4750 0.2779 0 '0000000001' 0.1000
topBm25fTuneBoost_Hard2005_alpha1 1 648 0.5584 1.0000 0.7365 0.7904 0.5481 0 '2121112211' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 650 0.0353 0.1000 0.1053 0.3128 0.0557 0 '0002000000' 0.2500
