schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Hard2003_alpha1 1 102 0.7392 1.0000 0.9286 0.9144 0.8752 0 '2222221122' 1.0000
topTuneBoost_Hard2003_alpha1 1 105 0.2358 0.6000 0.5072 0.6123 0.2217 0 '0122220200' 0.5000
topTuneBoost_Hard2003_alpha1 1 115 0.0178 0.0000 0.0000 0.1612 0.0000 0 '0000000000' 0.0400
topTuneBoost_Hard2003_alpha1 1 116 0.4607 1.0000 0.7335 0.7698 0.6867 0 '1221122121' 1.0000
topTuneBoost_Hard2003_alpha1 1 117 0.0006 0.0000 0.0000 0.0350 0.0000 0 '0000000000' 0.0087
topTuneBoost_Hard2003_alpha1 1 124 0.4642 0.4000 0.5424 0.7882 0.3700 0 '2220002000' 1.0000
topTuneBoost_Hard2003_alpha1 1 146 0.1719 0.7000 0.7132 0.4935 0.3132 0 '2210220220' 1.0000
topTuneBoost_Hard2003_alpha1 1 147 0.3902 0.9000 0.9306 0.6582 0.5659 0 '2222222022' 1.0000
topTuneBoost_Hard2003_alpha1 1 154 0.0420 0.0000 0.0000 0.2508 0.0000 0 '0000000000' 0.0385
topTuneBoost_Hard2003_alpha1 1 155 0.0617 0.2000 0.1357 0.3867 0.0817 0 '0000000110' 0.1250
topTuneBoost_Hard2003_alpha1 1 157 0.0764 0.6000 0.3235 0.1205 0.1516 0 '1011101001' 1.0000
topTuneBoost_Hard2003_alpha1 1 171 0.2637 0.6000 0.5558 0.6818 0.4189 0 '2021100220' 1.0000
topTuneBoost_Hard2003_alpha1 1 176 0.0018 0.0000 0.0000 0.0668 0.0000 0 '0000000000' 0.0067
topTuneBoost_Hard2003_alpha1 1 177 0.0057 0.0000 0.0000 0.1004 0.0000 0 '0000000000' 0.0222
topTuneBoost_Hard2003_alpha1 1 180 0.3648 0.6000 0.6473 0.7465 0.4162 0 '2200202022' 1.0000
topTuneBoost_Hard2003_alpha1 1 182 0.0916 0.2000 0.1585 0.4271 0.1151 0 '0000202000' 0.2000
topTuneBoost_Hard2003_alpha1 1 186 0.0035 0.0000 0.0000 0.1332 0.0000 0 '0000000000' 0.0145
topTuneBoost_Hard2003_alpha1 1 187 0.0419 0.1000 0.0948 0.2600 0.1558 0 '0002000000' 0.2500
topTuneBoost_Hard2003_alpha1 1 190 0.0990 0.0000 0.0000 0.3944 0.1304 0 '0000000000' 0.0833
topTuneBoost_Hard2003_alpha1 1 194 0.2913 0.7000 0.6753 0.5947 0.3563 0 '2200022122' 1.0000
topTuneBoost_Hard2003_alpha1 1 196 0.5790 1.0000 1.0000 0.8122 0.6772 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha1 1 198 0.1206 0.2000 0.1026 0.4642 0.2245 0 '0100000010' 0.5000
topTuneBoost_Hard2003_alpha1 1 203 0.3258 0.7000 0.4830 0.6383 0.2906 0 '1210012101' 1.0000
topTuneBoost_Hard2003_alpha1 1 215 0.6892 0.3000 0.2068 0.8381 0.7957 0 '0002100200' 0.2500
topTuneBoost_Hard2003_alpha1 1 217 0.0606 0.0000 0.0000 0.3680 0.0000 0 '0000000000' 0.0294
topTuneBoost_Hard2003_alpha1 1 220 0.0110 0.0000 0.0000 0.1881 0.0029 0 '0000000000' 0.0139
topTuneBoost_Hard2003_alpha1 1 222 0.3329 0.8000 0.5428 0.5484 0.5265 0 '0212111220' 0.5000
topTuneBoost_Hard2003_alpha1 1 223 0.4385 1.0000 0.7290 0.6417 0.5862 0 '1221112221' 1.0000
topTuneBoost_Hard2003_alpha1 1 226 0.0900 0.1000 0.0550 0.4623 0.0605 0 '0010000000' 0.3333
topTuneBoost_Hard2003_alpha1 1 228 0.0000 0.0000 0.0000 0.0000 0.0000 4 '00-0--000-' 0.0000
topTuneBoost_Hard2003_alpha1 1 229 0.1267 1.0000 1.0000 0.2500 0.1272 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha1 1 231 0.1067 0.3000 0.4690 0.4042 0.1045 0 '1110000000' 1.0000
topTuneBoost_Hard2003_alpha1 1 233 0.1984 0.5000 0.4951 0.5727 0.2853 0 '0222200020' 0.5000
topTuneBoost_Hard2003_alpha1 1 234 0.3994 0.8000 0.8643 0.7357 0.4186 0 '2222222002' 1.0000
topTuneBoost_Hard2003_alpha1 1 235 0.0140 0.0000 0.0000 0.1787 0.0152 0 '0000000000' 0.0435
